,Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
318,10/01/2023,Wexford General Hospital,13.0,4,17.0,51.0,9,6.0,,HSE Dublin and South East
319,10/01/2023,Cork University Hospital,30.0,4,34.0,26.0,34,,,HSE South West
320,10/01/2023,Mercy University Hospital,14.0,0,14.0,11.0,12,3.0,,HSE South West
321,10/01/2023,UH Kerry,18.0,0,18.0,14.0,20,3.0,,HSE South West
322,10/01/2023,UH Limerick,10.0,16,26.0,45.0,16,,,HSE Mid West
323,10/01/2023,Galway University Hospital,12.0,3,15.0,23.0,16,,,HSE West and North West
324,10/01/2023,Letterkenny University Hospital,15.0,6,21.0,16.0,16,4.0,,HSE West and North West
326,10/01/2023,Mayo University Hospital,2.0,8,10.0,13.0,10,4.0,,HSE West and North West
327,10/01/2023,Portiuncula University Hospital,-9.0,13,4.0,13.0,4,,,HSE West and North West
328,10/01/2023,Sligo University Hospital,7.0,6,13.0,11.0,12,4.0,,HSE West and North West
330,11/01/2023,Beaumont Hospital,0.0,,0.0,0.0,27,,,HSE Dublin and North East
331,11/01/2023,Cavan General Hospital,12.0,2,14.0,8.0,5,2.0,,HSE Dublin and North East
332,11/01/2023,Connolly Hospital,7.0,0,7.0,34.0,7,,,HSE Dublin and North East
333,11/01/2023,Mater Misericordiae University Hospital,34.0,,34.0,0.0,41,8.0,,HSE Dublin and North East
334,11/01/2023,Our Lady of Lourdes Hospital,7.0,1,8.0,20.0,34,,,HSE Dublin and North East
335,11/01/2023,Our Lady's Hospital Navan,5.0,0,5.0,21.0,8,,,HSE Dublin and North East
336,11/01/2023,CHI at Crumlin,0.0,,0.0,,,,,HSE Dublin and Midlands
337,11/01/2023,CHI at Tallaght,2.0,,2.0,,0,,,HSE Dublin and Midlands
339,11/01/2023,CHI at Temple Street,4.0,,4.0,,,,,HSE Dublin and Midlands
340,11/01/2023,MRH Mullingar,19.0,0,19.0,0.0,0,1.0,,HSE Dublin and Midlands
341,11/01/2023,MRH Portlaoise,0.0,0,0.0,11.0,10,,,HSE Dublin and Midlands
342,11/01/2023,MRH Tullamore,0.0,0,0.0,0.0,6,,,HSE Dublin and Midlands
343,11/01/2023,Naas General Hospital,22.0,,22.0,5.0,8,5.0,,HSE Dublin and Midlands
344,11/01/2023,St. James's Hospital,31.0,0,31.0,0.0,48,,,HSE Dublin and Midlands
345,11/01/2023,Tallaght University Hospital,27.0,,27.0,6.0,38,3.0,,HSE Dublin and Midlands
346,11/01/2023,St Luke's General Hospital Kilkenny,14.0,5,19.0,32.0,15,7.0,,HSE Dublin and South East
347,11/01/2023,St. Vincent's University Hospital,37.0,0,37.0,24.0,48,12.0,,HSE Dublin and South East
348,11/01/2023,Tipperary University Hospital,14.0,0,14.0,24.0,6,1.0,,HSE Dublin and South East
350,11/01/2023,UH Waterford,0.0,0,0.0,50.0,15,,,HSE Dublin and South East
351,11/01/2023,Wexford General Hospital,12.0,2,14.0,51.0,10,1.0,,HSE Dublin and South East
352,11/01/2023,Cork University Hospital,33.0,,33.0,23.0,33,9.0,,HSE South West
353,11/01/2023,Mercy University Hospital,15.0,0,15.0,11.0,17,3.0,,HSE South West
354,11/01/2023,UH Kerry,12.0,,12.0,14.0,20,1.0,,HSE South West
355,11/01/2023,UH Limerick,12.0,14,26.0,35.0,17,1.0,,HSE Mid West
356,11/01/2023,Galway University Hospital,6.0,3,9.0,22.0,16,1.0,,HSE West and North West
357,11/01/2023,Letterkenny University Hospital,16.0,1,17.0,23.0,19,8.0,,HSE West and North West
359,11/01/2023,Mayo University Hospital,12.0,,12.0,14.0,11,2.0,,HSE West and North West
360,11/01/2023,Portiuncula University Hospital,-3.0,12,9.0,12.0,6,,,HSE West and North West
361,11/01/2023,Sligo University Hospital,9.0,6,15.0,6.0,12,5.0,,HSE West and North West
363,12/01/2023,Beaumont Hospital,7.0,,7.0,0.0,25,,,HSE Dublin and North East
364,12/01/2023,Cavan General Hospital,12.0,,12.0,6.0,5,3.0,,HSE Dublin and North East
365,12/01/2023,Connolly Hospital,6.0,0,6.0,33.0,7,,,HSE Dublin and North East
366,12/01/2023,Mater Misericordiae University Hospital,29.0,,29.0,0.0,46,3.0,,HSE Dublin and North East
367,12/01/2023,Our Lady of Lourdes Hospital,7.0,0,7.0,14.0,32,,,HSE Dublin and North East
368,12/01/2023,Our Lady's Hospital Navan,11.0,0,11.0,22.0,8,1.0,,HSE Dublin and North East
369,12/01/2023,CHI at Crumlin,5.0,,5.0,,,,,HSE Dublin and Midlands
370,12/01/2023,CHI at Tallaght,0.0,,0.0,,0,,,HSE Dublin and Midlands
372,12/01/2023,CHI at Temple Street,2.0,,2.0,,,1.0,,HSE Dublin and Midlands
373,12/01/2023,MRH Mullingar,12.0,0,12.0,0.0,0,3.0,,HSE Dublin and Midlands
374,12/01/2023,MRH Portlaoise,0.0,0,0.0,8.0,9,,,HSE Dublin and Midlands
375,12/01/2023,MRH Tullamore,0.0,,0.0,2.0,5,,,HSE Dublin and Midlands
376,12/01/2023,Naas General Hospital,12.0,5,17.0,14.0,11,,,HSE Dublin and Midlands
377,12/01/2023,St. James's Hospital,27.0,0,27.0,0.0,53,1.0,,HSE Dublin and Midlands
378,12/01/2023,Tallaght University Hospital,42.0,0,42.0,6.0,38,13.0,,HSE Dublin and Midlands
379,12/01/2023,St Luke's General Hospital Kilkenny,9.0,3,12.0,23.0,12,5.0,,HSE Dublin and South East
380,12/01/2023,St. Vincent's University Hospital,30.0,0,30.0,24.0,48,9.0,,HSE Dublin and South East
381,12/01/2023,Tipperary University Hospital,7.0,,7.0,29.0,6,1.0,,HSE Dublin and South East
383,12/01/2023,UH Waterford,0.0,,0.0,41.0,14,,,HSE Dublin and South East
384,12/01/2023,Wexford General Hospital,2.0,2,4.0,31.0,10,,,HSE Dublin and South East
385,12/01/2023,Cork University Hospital,24.0,8,32.0,36.0,28,3.0,,HSE South West
386,12/01/2023,Mercy University Hospital,11.0,0,11.0,11.0,18,1.0,,HSE South West
387,12/01/2023,UH Kerry,22.0,0,22.0,19.0,17,,,HSE South West
388,12/01/2023,UH Limerick,7.0,20,27.0,43.0,17,,,HSE Mid West
389,12/01/2023,Galway University Hospital,5.0,7,12.0,0.0,16,1.0,,HSE West and North West
390,12/01/2023,Letterkenny University Hospital,5.0,8,13.0,9.0,19,4.0,,HSE West and North West
392,12/01/2023,Mayo University Hospital,9.0,,9.0,12.0,12,3.0,,HSE West and North West
393,12/01/2023,Portiuncula University Hospital,12.0,0,12.0,11.0,5,,,HSE West and North West
394,12/01/2023,Sligo University Hospital,12.0,,12.0,6.0,11,3.0,,HSE West and North West
396,13/01/2023,Beaumont Hospital,5.0,0,5.0,26.0,22,,,HSE Dublin and North East
397,13/01/2023,Cavan General Hospital,10.0,2,12.0,6.0,5,1.0,,HSE Dublin and North East
398,13/01/2023,Connolly Hospital,5.0,0,5.0,28.0,7,,,HSE Dublin and North East
399,13/01/2023,Mater Misericordiae University Hospital,19.0,,19.0,0.0,42,3.0,,HSE Dublin and North East
400,13/01/2023,Our Lady of Lourdes Hospital,2.0,2,4.0,19.0,32,,,HSE Dublin and North East
401,13/01/2023,Our Lady's Hospital Navan,0.0,0,0.0,21.0,5,,,HSE Dublin and North East
402,13/01/2023,CHI at Crumlin,7.0,,7.0,,,,,HSE Dublin and Midlands
403,13/01/2023,CHI at Tallaght,0.0,,0.0,,0,,,HSE Dublin and Midlands
405,13/01/2023,CHI at Temple Street,1.0,,1.0,,,,,HSE Dublin and Midlands
406,13/01/2023,MRH Mullingar,10.0,0,10.0,0.0,0,2.0,,HSE Dublin and Midlands
407,13/01/2023,MRH Portlaoise,0.0,,0.0,7.0,8,,,HSE Dublin and Midlands
408,13/01/2023,MRH Tullamore,0.0,,0.0,2.0,5,,,HSE Dublin and Midlands
409,13/01/2023,Naas General Hospital,10.0,5,15.0,14.0,11,1.0,,HSE Dublin and Midlands
410,13/01/2023,St. James's Hospital,23.0,0,23.0,0.0,55,1.0,,HSE Dublin and Midlands
411,13/01/2023,Tallaght University Hospital,45.0,0,45.0,0.0,40,15.0,,HSE Dublin and Midlands
412,13/01/2023,St Luke's General Hospital Kilkenny,14.0,1,15.0,33.0,13,3.0,,HSE Dublin and South East
413,13/01/2023,St. Vincent's University Hospital,28.0,,28.0,21.0,49,6.0,,HSE Dublin and South East
414,13/01/2023,Tipperary University Hospital,3.0,,3.0,20.0,13,2.0,,HSE Dublin and South East
416,13/01/2023,UH Waterford,0.0,,0.0,44.0,14,,,HSE Dublin and South East
417,13/01/2023,Wexford General Hospital,8.0,1,9.0,25.0,11,,,HSE Dublin and South East
418,13/01/2023,Cork University Hospital,25.0,3,28.0,20.0,31,1.0,,HSE South West
419,13/01/2023,Mercy University Hospital,18.0,0,18.0,8.0,19,5.0,,HSE South West
420,13/01/2023,UH Kerry,13.0,0,13.0,20.0,16,5.0,,HSE South West
421,13/01/2023,UH Limerick,2.0,11,13.0,47.0,15,1.0,,HSE Mid West
422,13/01/2023,Galway University Hospital,19.0,,19.0,8.0,16,2.0,,HSE West and North West
423,13/01/2023,Letterkenny University Hospital,10.0,5,15.0,4.0,18,3.0,,HSE West and North West
425,13/01/2023,Mayo University Hospital,5.0,4,9.0,5.0,12,1.0,,HSE West and North West
426,13/01/2023,Portiuncula University Hospital,7.0,0,7.0,12.0,7,,,HSE West and North West
427,13/01/2023,Sligo University Hospital,7.0,6,13.0,7.0,11,1.0,,HSE West and North West
429,14/01/2023,Beaumont Hospital,0.0,0,0.0,14.0,20,,,HSE Dublin and North East
430,14/01/2023,Cavan General Hospital,2.0,0,2.0,8.0,5,,,HSE Dublin and North East
431,14/01/2023,Connolly Hospital,0.0,0,0.0,24.0,7,,,HSE Dublin and North East
432,14/01/2023,Mater Misericordiae University Hospital,6.0,,6.0,0.0,39,,,HSE Dublin and North East
433,14/01/2023,Our Lady of Lourdes Hospital,4.0,0,4.0,9.0,32,,,HSE Dublin and North East
434,14/01/2023,Our Lady's Hospital Navan,0.0,,0.0,19.0,5,,,HSE Dublin and North East
435,14/01/2023,CHI at Crumlin,4.0,,4.0,,2,,,HSE Dublin and Midlands
436,14/01/2023,CHI at Tallaght,0.0,,0.0,,0,,,HSE Dublin and Midlands
438,14/01/2023,CHI at Temple Street,3.0,,3.0,,2,,,HSE Dublin and Midlands
439,14/01/2023,MRH Mullingar,2.0,0,2.0,0.0,0,,,HSE Dublin and Midlands
440,14/01/2023,MRH Portlaoise,0.0,0,0.0,5.0,8,,,HSE Dublin and Midlands
441,14/01/2023,MRH Tullamore,0.0,0,0.0,0.0,4,,,HSE Dublin and Midlands
442,14/01/2023,Naas General Hospital,15.0,,15.0,0.0,12,4.0,,HSE Dublin and Midlands
443,14/01/2023,St. James's Hospital,18.0,0,18.0,0.0,54,1.0,,HSE Dublin and Midlands
444,14/01/2023,Tallaght University Hospital,26.0,0,26.0,12.0,39,4.0,,HSE Dublin and Midlands
445,14/01/2023,St Luke's General Hospital Kilkenny,1.0,6,7.0,16.0,12,,,HSE Dublin and South East
446,14/01/2023,St. Vincent's University Hospital,26.0,0,26.0,0.0,49,2.0,,HSE Dublin and South East
447,14/01/2023,Tipperary University Hospital,2.0,0,2.0,12.0,7,,,HSE Dublin and South East
449,14/01/2023,UH Waterford,0.0,0,0.0,25.0,19,,,HSE Dublin and South East
450,14/01/2023,Wexford General Hospital,1.0,0,1.0,18.0,12,,,HSE Dublin and South East
451,14/01/2023,Cork University Hospital,22.0,0,22.0,14.0,33,2.0,,HSE South West
452,14/01/2023,Mercy University Hospital,10.0,,10.0,8.0,21,,,HSE South West
453,14/01/2023,UH Kerry,12.0,0,12.0,14.0,20,2.0,,HSE South West
454,14/01/2023,UH Limerick,4.0,5,9.0,29.0,15,,,HSE Mid West
455,14/01/2023,Galway University Hospital,13.0,1,14.0,21.0,16,1.0,,HSE West and North West
456,14/01/2023,Letterkenny University Hospital,15.0,,15.0,4.0,17,1.0,,HSE West and North West
458,14/01/2023,Mayo University Hospital,9.0,5,14.0,5.0,12,3.0,,HSE West and North West
459,14/01/2023,Portiuncula University Hospital,4.0,0,4.0,6.0,7,1.0,,HSE West and North West
460,14/01/2023,Sligo University Hospital,7.0,8,15.0,8.0,11,6.0,,HSE West and North West
462,15/01/2023,Beaumont Hospital,3.0,0,3.0,26.0,20,,,HSE Dublin and North East
463,15/01/2023,Cavan General Hospital,1.0,1,2.0,9.0,5,,,HSE Dublin and North East
464,15/01/2023,Connolly Hospital,0.0,,0.0,21.0,7,,,HSE Dublin and North East
465,15/01/2023,Mater Misericordiae University Hospital,11.0,,11.0,0.0,39,,,HSE Dublin and North East
466,15/01/2023,Our Lady of Lourdes Hospital,9.0,1,10.0,11.0,32,,,HSE Dublin and North East
467,15/01/2023,Our Lady's Hospital Navan,0.0,,0.0,17.0,5,,,HSE Dublin and North East
468,15/01/2023,CHI at Crumlin,2.0,,2.0,,2,,,HSE Dublin and Midlands
469,15/01/2023,CHI at Tallaght,1.0,,1.0,,0,,,HSE Dublin and Midlands
471,15/01/2023,CHI at Temple Street,6.0,,6.0,,2,,,HSE Dublin and Midlands
472,15/01/2023,MRH Mullingar,6.0,0,6.0,0.0,0,,,HSE Dublin and Midlands
473,15/01/2023,MRH Portlaoise,0.0,0,0.0,7.0,8,,,HSE Dublin and Midlands
474,15/01/2023,MRH Tullamore,0.0,0,0.0,0.0,4,,,HSE Dublin and Midlands
475,15/01/2023,Naas General Hospital,16.0,4,20.0,0.0,12,7.0,,HSE Dublin and Midlands
476,15/01/2023,St. James's Hospital,5.0,0,5.0,0.0,54,,,HSE Dublin and Midlands
477,15/01/2023,Tallaght University Hospital,24.0,0,24.0,12.0,39,10.0,,HSE Dublin and Midlands
478,15/01/2023,St Luke's General Hospital Kilkenny,13.0,6,19.0,15.0,12,8.0,,HSE Dublin and South East
479,15/01/2023,St. Vincent's University Hospital,11.0,,11.0,35.0,49,4.0,,HSE Dublin and South East
480,15/01/2023,Tipperary University Hospital,5.0,0,5.0,12.0,7,,,HSE Dublin and South East
482,15/01/2023,UH Waterford,0.0,0,0.0,29.0,19,,,HSE Dublin and South East
483,15/01/2023,Wexford General Hospital,4.0,1,5.0,17.0,12,,,HSE Dublin and South East
484,15/01/2023,Cork University Hospital,10.0,2,12.0,23.0,33,1.0,,HSE South West
485,15/01/2023,Mercy University Hospital,8.0,,8.0,8.0,21,,,HSE South West
486,15/01/2023,UH Kerry,13.0,0,13.0,14.0,20,4.0,,HSE South West
487,15/01/2023,UH Limerick,1.0,24,25.0,22.0,15,,,HSE Mid West
488,15/01/2023,Galway University Hospital,14.0,0,14.0,22.0,16,3.0,,HSE West and North West
489,15/01/2023,Letterkenny University Hospital,14.0,,14.0,6.0,17,4.0,,HSE West and North West
491,15/01/2023,Mayo University Hospital,16.0,6,22.0,14.0,12,4.0,,HSE West and North West
492,15/01/2023,Portiuncula University Hospital,3.0,,3.0,9.0,7,,,HSE West and North West
493,15/01/2023,Sligo University Hospital,4.0,11,15.0,10.0,11,7.0,,HSE West and North West
495,16/01/2023,Beaumont Hospital,6.0,,6.0,0.0,20,,,HSE Dublin and North East
496,16/01/2023,Cavan General Hospital,6.0,1,7.0,3.0,5,,,HSE Dublin and North East
497,16/01/2023,Connolly Hospital,0.0,0,0.0,27.0,7,,,HSE Dublin and North East
498,16/01/2023,Mater Misericordiae University Hospital,22.0,,22.0,0.0,39,5.0,,HSE Dublin and North East
499,16/01/2023,Our Lady of Lourdes Hospital,14.0,2,16.0,17.0,32,,,HSE Dublin and North East
500,16/01/2023,Our Lady's Hospital Navan,0.0,0,0.0,16.0,5,,,HSE Dublin and North East
501,16/01/2023,CHI at Crumlin,3.0,,3.0,,2,,,HSE Dublin and Midlands
502,16/01/2023,CHI at Tallaght,1.0,,1.0,,0,,,HSE Dublin and Midlands
504,16/01/2023,CHI at Temple Street,7.0,,7.0,,2,1.0,,HSE Dublin and Midlands
505,16/01/2023,MRH Mullingar,6.0,,6.0,0.0,0,,,HSE Dublin and Midlands
506,16/01/2023,MRH Portlaoise,0.0,0,0.0,5.0,8,,,HSE Dublin and Midlands
507,16/01/2023,MRH Tullamore,0.0,0,0.0,6.0,4,,,HSE Dublin and Midlands
508,16/01/2023,Naas General Hospital,17.0,5,22.0,13.0,12,7.0,,HSE Dublin and Midlands
509,16/01/2023,St. James's Hospital,10.0,0,10.0,0.0,54,,,HSE Dublin and Midlands
510,16/01/2023,Tallaght University Hospital,23.0,0,23.0,8.0,45,9.0,,HSE Dublin and Midlands
511,16/01/2023,St Luke's General Hospital Kilkenny,20.0,4,24.0,38.0,12,14.0,,HSE Dublin and South East
512,16/01/2023,St. Vincent's University Hospital,14.0,,14.0,35.0,49,1.0,,HSE Dublin and South East
513,16/01/2023,Tipperary University Hospital,2.0,0,2.0,15.0,7,,,HSE Dublin and South East
515,16/01/2023,UH Waterford,0.0,,0.0,40.0,19,,,HSE Dublin and South East
516,16/01/2023,Wexford General Hospital,11.0,3,14.0,22.0,12,2.0,,HSE Dublin and South East
517,16/01/2023,Cork University Hospital,24.0,3,27.0,22.0,33,2.0,,HSE South West
518,16/01/2023,Mercy University Hospital,6.0,0,6.0,8.0,21,,,HSE South West
519,16/01/2023,UH Kerry,16.0,0,16.0,27.0,20,5.0,,HSE South West
520,16/01/2023,UH Limerick,4.0,24,28.0,51.0,14,,,HSE Mid West
521,16/01/2023,Galway University Hospital,16.0,4,20.0,35.0,16,5.0,,HSE West and North West
522,16/01/2023,Letterkenny University Hospital,29.0,,29.0,21.0,17,6.0,,HSE West and North West
524,16/01/2023,Mayo University Hospital,12.0,9,21.0,16.0,12,10.0,,HSE West and North West
525,16/01/2023,Portiuncula University Hospital,5.0,0,5.0,12.0,7,1.0,,HSE West and North West
526,16/01/2023,Sligo University Hospital,4.0,17,21.0,10.0,11,12.0,,HSE West and North West
528,17/01/2023,Beaumont Hospital,11.0,,11.0,0.0,21,,,HSE Dublin and North East
529,17/01/2023,Cavan General Hospital,2.0,1,3.0,2.0,5,,,HSE Dublin and North East
530,17/01/2023,Connolly Hospital,0.0,,0.0,24.0,7,,,HSE Dublin and North East
531,17/01/2023,Mater Misericordiae University Hospital,30.0,,30.0,0.0,39,4.0,,HSE Dublin and North East
532,17/01/2023,Our Lady of Lourdes Hospital,12.0,2,14.0,20.0,32,,,HSE Dublin and North East
533,17/01/2023,Our Lady's Hospital Navan,5.0,0,5.0,17.0,9,,,HSE Dublin and North East
534,17/01/2023,CHI at Crumlin,2.0,,2.0,,2,,,HSE Dublin and Midlands
535,17/01/2023,CHI at Tallaght,0.0,,0.0,,0,,,HSE Dublin and Midlands
537,17/01/2023,CHI at Temple Street,11.0,,11.0,,2,,,HSE Dublin and Midlands
538,17/01/2023,MRH Mullingar,9.0,,9.0,0.0,0,,,HSE Dublin and Midlands
539,17/01/2023,MRH Portlaoise,4.0,0,4.0,0.0,8,,,HSE Dublin and Midlands
540,17/01/2023,MRH Tullamore,0.0,0,0.0,3.0,3,,,HSE Dublin and Midlands
541,17/01/2023,Naas General Hospital,15.0,5,20.0,13.0,12,6.0,,HSE Dublin and Midlands
542,17/01/2023,St. James's Hospital,31.0,0,31.0,0.0,54,,,HSE Dublin and Midlands
543,17/01/2023,Tallaght University Hospital,27.0,0,27.0,12.0,45,8.0,,HSE Dublin and Midlands
544,17/01/2023,St Luke's General Hospital Kilkenny,19.0,8,27.0,38.0,12,16.0,,HSE Dublin and South East
545,17/01/2023,St. Vincent's University Hospital,24.0,0,24.0,21.0,45,1.0,,HSE Dublin and South East
546,17/01/2023,Tipperary University Hospital,2.0,,2.0,12.0,6,1.0,,HSE Dublin and South East
548,17/01/2023,UH Waterford,0.0,,0.0,41.0,21,,,HSE Dublin and South East
549,17/01/2023,Wexford General Hospital,5.0,3,8.0,23.0,11,1.0,,HSE Dublin and South East
550,17/01/2023,Cork University Hospital,28.0,9,37.0,32.0,44,3.0,,HSE South West
551,17/01/2023,Mercy University Hospital,12.0,0,12.0,11.0,20,1.0,,HSE South West
552,17/01/2023,UH Kerry,20.0,0,20.0,26.0,19,6.0,,HSE South West
553,17/01/2023,UH Limerick,7.0,15,22.0,54.0,14,1.0,,HSE Mid West
554,17/01/2023,Galway University Hospital,24.0,5,29.0,0.0,14,1.0,,HSE West and North West
555,17/01/2023,Letterkenny University Hospital,29.0,,29.0,16.0,19,8.0,,HSE West and North West
557,17/01/2023,Mayo University Hospital,14.0,9,23.0,14.0,12,6.0,,HSE West and North West
558,17/01/2023,Portiuncula University Hospital,11.0,0,11.0,10.0,6,1.0,,HSE West and North West
559,17/01/2023,Sligo University Hospital,7.0,12,19.0,7.0,11,6.0,,HSE West and North West
561,18/01/2023,Beaumont Hospital,10.0,,10.0,0.0,22,,,HSE Dublin and North East
562,18/01/2023,Cavan General Hospital,0.0,1,1.0,2.0,5,,,HSE Dublin and North East
563,18/01/2023,Connolly Hospital,0.0,0,0.0,20.0,7,,,HSE Dublin and North East
564,18/01/2023,Mater Misericordiae University Hospital,34.0,,34.0,0.0,39,13.0,,HSE Dublin and North East
565,18/01/2023,Our Lady of Lourdes Hospital,14.0,1,15.0,17.0,30,,,HSE Dublin and North East
566,18/01/2023,Our Lady's Hospital Navan,2.0,,2.0,16.0,9,,,HSE Dublin and North East
567,18/01/2023,CHI at Crumlin,14.0,0,14.0,,2,,,HSE Dublin and Midlands
568,18/01/2023,CHI at Tallaght,0.0,,0.0,,0,,,HSE Dublin and Midlands
570,18/01/2023,CHI at Temple Street,11.0,,11.0,,2,2.0,,HSE Dublin and Midlands
571,18/01/2023,MRH Mullingar,11.0,0,11.0,0.0,0,,,HSE Dublin and Midlands
572,18/01/2023,MRH Portlaoise,0.0,0,0.0,0.0,10,,,HSE Dublin and Midlands
573,18/01/2023,MRH Tullamore,0.0,0,0.0,5.0,5,,,HSE Dublin and Midlands
574,18/01/2023,Naas General Hospital,17.0,5,22.0,13.0,14,,,HSE Dublin and Midlands
575,18/01/2023,St. James's Hospital,31.0,0,31.0,0.0,59,4.0,,HSE Dublin and Midlands
576,18/01/2023,Tallaght University Hospital,31.0,0,31.0,12.0,47,4.0,,HSE Dublin and Midlands
577,18/01/2023,St Luke's General Hospital Kilkenny,15.0,6,21.0,16.0,11,7.0,,HSE Dublin and South East
578,18/01/2023,St. Vincent's University Hospital,27.0,0,27.0,23.0,52,5.0,,HSE Dublin and South East
579,18/01/2023,Tipperary University Hospital,4.0,,4.0,12.0,6,1.0,,HSE Dublin and South East
581,18/01/2023,UH Waterford,0.0,,0.0,43.0,20,,,HSE Dublin and South East
582,18/01/2023,Wexford General Hospital,10.0,4,14.0,28.0,11,,,HSE Dublin and South East
583,18/01/2023,Cork University Hospital,29.0,9,38.0,25.0,40,,,HSE South West
584,18/01/2023,Mercy University Hospital,15.0,0,15.0,10.0,19,,,HSE South West
585,18/01/2023,UH Kerry,10.0,0,10.0,11.0,18,2.0,,HSE South West
586,18/01/2023,UH Limerick,9.0,27,36.0,23.0,17,,,HSE Mid West
587,18/01/2023,Galway University Hospital,26.0,10,36.0,0.0,15,6.0,,HSE West and North West
588,18/01/2023,Letterkenny University Hospital,17.0,9,26.0,15.0,20,5.0,,HSE West and North West
590,18/01/2023,Mayo University Hospital,5.0,9,14.0,16.0,15,8.0,,HSE West and North West
591,18/01/2023,Portiuncula University Hospital,7.0,0,7.0,12.0,6,,,HSE West and North West
592,18/01/2023,Sligo University Hospital,8.0,13,21.0,8.0,11,7.0,,HSE West and North West
594,19/01/2023,Beaumont Hospital,15.0,0,15.0,0.0,20,,,HSE Dublin and North East
595,19/01/2023,Cavan General Hospital,0.0,1,1.0,0.0,5,,,HSE Dublin and North East
596,19/01/2023,Connolly Hospital,0.0,0,0.0,20.0,7,,,HSE Dublin and North East
597,19/01/2023,Mater Misericordiae University Hospital,24.0,,24.0,0.0,36,11.0,,HSE Dublin and North East
598,19/01/2023,Our Lady of Lourdes Hospital,4.0,1,5.0,20.0,31,,,HSE Dublin and North East
599,19/01/2023,Our Lady's Hospital Navan,3.0,0,3.0,17.0,9,,,HSE Dublin and North East
600,19/01/2023,CHI at Crumlin,13.0,,13.0,,2,,,HSE Dublin and Midlands
601,19/01/2023,CHI at Tallaght,4.0,0,4.0,,0,,,HSE Dublin and Midlands
603,19/01/2023,CHI at Temple Street,8.0,,8.0,,2,1.0,,HSE Dublin and Midlands
604,19/01/2023,MRH Mullingar,13.0,0,13.0,12.0,0,2.0,,HSE Dublin and Midlands
605,19/01/2023,MRH Portlaoise,1.0,0,1.0,0.0,10,,,HSE Dublin and Midlands
606,19/01/2023,MRH Tullamore,0.0,0,0.0,5.0,5,,,HSE Dublin and Midlands
607,19/01/2023,Naas General Hospital,7.0,4,11.0,13.0,16,,,HSE Dublin and Midlands
608,19/01/2023,St. James's Hospital,20.0,0,20.0,0.0,66,,,HSE Dublin and Midlands
609,19/01/2023,Tallaght University Hospital,31.0,0,31.0,6.0,44,12.0,,HSE Dublin and Midlands
610,19/01/2023,St Luke's General Hospital Kilkenny,12.0,7,19.0,17.0,15,10.0,,HSE Dublin and South East
611,19/01/2023,St. Vincent's University Hospital,30.0,,30.0,30.0,51,4.0,,HSE Dublin and South East
612,19/01/2023,Tipperary University Hospital,6.0,,6.0,12.0,10,,,HSE Dublin and South East
614,19/01/2023,UH Waterford,0.0,,0.0,40.0,30,,,HSE Dublin and South East
